YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
2022,1,29,20,0,360,3.1,3.6,MM,MM,MM,MM,1026,5.9,MM,MM,MM,-2.8,MM
2022,1,29,19,54,360,3.1,4.1,MM,MM,MM,MM,1026.1,5.8,MM,MM,MM,MM,MM
2022,1,29,19,48,350,3.6,4.1,MM,MM,MM,MM,1026.2,5.6,MM,MM,MM,MM,MM
2022,1,29,19,42,360,3.6,4.6,MM,MM,MM,MM,1026.3,5.6,MM,MM,MM,MM,MM
2022,1,29,19,36,360,3.6,4.1,MM,MM,MM,MM,1026.4,5.6,MM,MM,MM,MM,MM
2022,1,29,19,30,10,3.6,4.1,MM,MM,MM,MM,1026.4,5.2,MM,MM,MM,MM,MM
2022,1,29,19,24,360,4.1,5.7,MM,MM,MM,MM,1026.5,5.2,MM,MM,MM,MM,MM
2022,1,29,19,18,10,4.6,5.7,MM,MM,MM,MM,1026.7,5,MM,MM,MM,MM,MM
2022,1,29,19,12,360,4.6,5.7,MM,MM,MM,MM,1026.8,5,MM,MM,MM,MM,MM
2022,1,29,19,6,360,5.1,6.2,MM,MM,MM,MM,1027,4.8,MM,MM,MM,MM,MM
2022,1,29,19,0,10,5.7,6.7,MM,MM,MM,MM,1027.1,4.6,MM,MM,MM,-2.2,MM
2022,1,29,18,54,360,5.7,6.7,MM,MM,MM,MM,1027.1,4.7,MM,MM,MM,MM,MM
2022,1,29,18,48,360,5.7,7.2,MM,MM,MM,MM,1027.3,4.5,MM,MM,MM,MM,MM
2022,1,29,18,42,360,6.7,7.7,MM,MM,MM,MM,1027.4,4.2,MM,MM,MM,MM,MM
2022,1,29,18,36,10,6.2,7.7,MM,MM,MM,MM,1027.5,4.4,MM,MM,MM,MM,MM
2022,1,29,18,30,10,7.7,8.2,MM,MM,MM,MM,1027.5,3.9,MM,MM,MM,MM,MM
2022,1,29,18,24,360,7.2,8.2,MM,MM,MM,MM,1027.6,4,MM,MM,MM,MM,MM
2022,1,29,18,18,10,7.7,8.2,MM,MM,MM,MM,1027.6,3.7,MM,MM,MM,MM,MM
2022,1,29,18,12,360,6.2,8.8,MM,MM,MM,MM,1027.8,3.8,MM,MM,MM,MM,MM
2022,1,29,18,6,360,7.2,8.8,MM,MM,MM,MM,1027.9,3.5,MM,MM,MM,MM,MM
2022,1,29,18,0,350,7.2,8.8,MM,MM,MM,MM,1028.1,3.7,MM,MM,MM,-0.8,MM
2022,1,29,17,54,360,7.7,8.8,MM,MM,MM,MM,1028.2,3.3,MM,MM,MM,MM,MM
2022,1,29,17,48,350,7.7,9.3,MM,MM,MM,MM,1028.3,3.3,MM,MM,MM,MM,MM
2022,1,29,17,42,350,7.2,9.3,MM,MM,MM,MM,1028.4,3,MM,MM,MM,MM,MM
2022,1,29,17,36,350,7.7,10.3,MM,MM,MM,MM,1028.5,3,MM,MM,MM,MM,MM
2022,1,29,17,30,350,8.2,9.8,MM,MM,MM,MM,1028.6,2.8,MM,MM,MM,MM,MM
2022,1,29,17,24,350,8.2,9.8,MM,MM,MM,MM,1028.7,2.7,MM,MM,MM,MM,MM
2022,1,29,17,18,350,8.8,9.8,MM,MM,MM,MM,1028.7,2.3,MM,MM,MM,MM,MM
2022,1,29,17,12,350,8.8,9.3,MM,MM,MM,MM,1028.8,2.2,MM,MM,MM,MM,MM
2022,1,29,17,6,350,8.2,9.8,MM,MM,MM,MM,1028.8,2.2,MM,MM,MM,MM,MM
2022,1,29,17,0,360,7.7,9.3,MM,MM,MM,MM,1028.8,2,MM,MM,MM,0.5,MM
2022,1,29,16,54,360,7.7,9.3,MM,MM,MM,MM,1028.8,1.9,MM,MM,MM,MM,MM
2022,1,29,16,48,350,8.2,9.3,MM,MM,MM,MM,1029,2.2,MM,MM,MM,MM,MM
2022,1,29,16,42,350,8.2,9.8,MM,MM,MM,MM,1029,1.8,MM,MM,MM,MM,MM
2022,1,29,16,36,350,8.8,9.8,MM,MM,MM,MM,1029,1.5,MM,MM,MM,MM,MM
2022,1,29,16,30,350,8.8,9.8,MM,MM,MM,MM,1029.1,1.6,MM,MM,MM,MM,MM
2022,1,29,16,24,360,8.2,10.3,MM,MM,MM,MM,1029.1,1.5,MM,MM,MM,MM,MM
2022,1,29,16,18,350,7.7,9.3,MM,MM,MM,MM,1029.2,1.6,MM,MM,MM,MM,MM
2022,1,29,16,12,360,7.7,9.3,MM,MM,MM,MM,1029.2,1.3,MM,MM,MM,MM,MM
2022,1,29,16,6,350,8.2,9.8,MM,MM,MM,MM,1029.2,1.1,MM,MM,MM,MM,MM
2022,1,29,16,0,360,8.2,10.3,MM,MM,MM,MM,1029.3,1.3,MM,MM,MM,2,MM
2022,1,29,15,54,350,8.8,10.3,MM,MM,MM,MM,1029.3,1.3,MM,MM,MM,MM,MM
2022,1,29,15,48,360,9.3,11.3,MM,MM,MM,MM,1029.4,1.2,MM,MM,MM,MM,MM
2022,1,29,15,42,360,9.3,10.8,MM,MM,MM,MM,1029.3,1.2,MM,MM,MM,MM,MM
2022,1,29,15,36,10,9.3,10.8,MM,MM,MM,MM,1029.2,1.1,MM,MM,MM,MM,MM
2022,1,29,15,30,10,8.8,10.8,MM,MM,MM,MM,1029.2,1.3,MM,MM,MM,MM,MM
2022,1,29,15,24,360,9.8,10.8,MM,MM,MM,MM,1029.2,1.1,MM,MM,MM,MM,MM
2022,1,29,15,18,360,10.3,11.3,MM,MM,MM,MM,1029.1,0.9,MM,MM,MM,MM,MM
2022,1,29,15,12,360,10.3,11.8,MM,MM,MM,MM,1029,1,MM,MM,MM,MM,MM
2022,1,29,15,6,10,9.8,12.4,MM,MM,MM,MM,1028.9,1,MM,MM,MM,MM,MM
2022,1,29,15,0,360,10.3,12.9,MM,MM,MM,MM,1028.9,1.4,MM,MM,MM,2.4,MM
2022,1,29,14,54,360,11.3,11.8,MM,MM,MM,MM,1028.8,1.2,MM,MM,MM,MM,MM
2022,1,29,14,48,10,10.3,12.9,MM,MM,MM,MM,1028.8,1.2,MM,MM,MM,MM,MM
2022,1,29,14,42,360,9.8,12.4,MM,MM,MM,MM,1028.7,1.4,MM,MM,MM,MM,MM
2022,1,29,14,36,350,11.3,12.9,MM,MM,MM,MM,1028.6,1.1,MM,MM,MM,MM,MM
2022,1,29,14,30,360,10.3,12.9,MM,MM,MM,MM,1028.6,1.3,MM,MM,MM,MM,MM
2022,1,29,14,24,360,10.3,12.9,MM,MM,MM,MM,1028.5,1.3,MM,MM,MM,MM,MM
2022,1,29,14,18,360,11.3,13.4,MM,MM,MM,MM,1028.4,1.2,MM,MM,MM,MM,MM
2022,1,29,14,12,360,11.8,13.4,MM,MM,MM,MM,1028.4,1.2,MM,MM,MM,MM,MM
2022,1,29,14,6,360,11.8,13.4,MM,MM,MM,MM,1028.4,1.6,MM,MM,MM,MM,MM
2022,1,29,14,0,350,12.4,13.9,MM,MM,MM,MM,1028.3,1.4,MM,MM,MM,2.6,MM
2022,1,29,13,54,350,12.9,14.9,MM,MM,MM,MM,1028.2,1.3,MM,MM,MM,MM,MM
2022,1,29,13,48,350,12.9,13.9,MM,MM,MM,MM,1028.1,1.4,MM,MM,MM,MM,MM
2022,1,29,13,42,350,12.4,14.4,MM,MM,MM,MM,1028,1.5,MM,MM,MM,MM,MM
2022,1,29,13,36,350,12.4,15.4,MM,MM,MM,MM,1027.8,1.6,MM,MM,MM,MM,MM
