YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
2022,1,29,20,35,350,6.2,MM,MM,MM,MM,MM,MM,7,MM,-3,8.7,MM,MM
2022,1,29,20,15,350,6.2,MM,MM,MM,MM,MM,MM,7,MM,-3,8.7,MM,MM
2022,1,29,19,55,350,5.7,MM,MM,MM,MM,MM,MM,7,MM,-2,8.7,MM,MM
2022,1,29,19,35,360,5.1,8.2,MM,MM,MM,MM,MM,7,MM,-3,8.7,MM,MM
2022,1,29,19,15,20,5.1,MM,MM,MM,MM,MM,MM,7,MM,-3,8.7,MM,MM
2022,1,29,18,50,30,6.7,MM,MM,MM,MM,MM,MM,7,MM,-3,8.7,MM,MM
2022,1,29,18,35,20,6.7,9.8,MM,MM,MM,MM,MM,7,MM,-3,8.7,MM,MM
2022,1,29,18,15,360,6.2,MM,MM,MM,MM,MM,MM,7,MM,-3,8.7,MM,MM
2022,1,29,17,55,20,7.2,MM,MM,MM,MM,MM,MM,7,MM,-4,8.7,MM,MM
2022,1,29,17,35,20,7.2,MM,MM,MM,MM,MM,MM,7,MM,-4,8.7,MM,MM
2022,1,29,17,15,40,7.7,10.8,MM,MM,MM,MM,MM,7,MM,-5,8.7,MM,MM
2022,1,29,16,55,20,8.8,MM,MM,MM,MM,MM,MM,6,MM,-4,8.7,MM,MM
2022,1,29,16,35,30,8.8,11.8,MM,MM,MM,MM,MM,6,MM,-5,8.7,MM,MM
2022,1,29,16,15,20,9.8,14.4,MM,MM,MM,MM,MM,6,MM,-3,8.7,MM,MM
2022,1,29,15,55,20,10.8,15.4,MM,MM,MM,MM,MM,6,MM,-6,8.7,MM,MM
2022,1,29,15,35,30,13.9,MM,MM,MM,MM,MM,MM,6,MM,-4,8.7,MM,MM
2022,1,29,15,15,20,11.3,14.9,MM,MM,MM,MM,MM,6,MM,-4,8.7,MM,MM
2022,1,29,14,55,20,11.3,MM,MM,MM,MM,MM,MM,6,MM,-4,8.7,MM,MM
