YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
2022,1,29,20,18,110,5.7,6.2,MM,MM,MM,MM,1027.3,12.9,15.1,MM,MM,MM,MM
2022,1,29,20,12,120,5.1,5.7,MM,MM,MM,MM,1027.4,12.9,15.1,MM,MM,MM,MM
2022,1,29,20,6,120,5.1,5.7,MM,MM,MM,MM,1027.6,12.9,15,MM,MM,MM,MM
2022,1,29,20,0,120,5.1,5.7,MM,MM,MM,MM,1027.7,12.9,14.8,MM,MM,-4,MM
2022,1,29,19,54,110,4.6,6.2,MM,MM,MM,MM,1027.9,12.8,14.7,MM,MM,MM,MM
2022,1,29,19,48,120,5.1,5.7,MM,MM,MM,MM,1028,12.8,14.6,MM,MM,MM,MM
2022,1,29,19,42,120,5.1,5.7,MM,MM,MM,MM,1028.1,12.8,14.2,MM,MM,MM,MM
2022,1,29,19,36,120,5.1,5.7,MM,MM,MM,MM,1028.2,13,14.1,MM,MM,MM,MM
2022,1,29,19,30,120,4.6,5.7,MM,MM,MM,MM,1028.4,13,14.1,MM,MM,MM,MM
2022,1,29,19,24,120,4.6,5.1,MM,MM,MM,MM,1028.6,13,14.1,MM,MM,MM,MM
2022,1,29,19,18,110,4.6,5.1,MM,MM,MM,MM,1028.7,12.8,14.1,MM,MM,MM,MM
2022,1,29,19,12,110,4.1,4.6,MM,MM,MM,MM,1028.9,12.9,14.1,MM,MM,MM,MM
2022,1,29,19,6,120,3.6,4.6,MM,MM,MM,MM,1029.1,13,14,MM,MM,MM,MM
2022,1,29,19,0,120,3.1,3.6,MM,MM,MM,MM,1029.3,13.3,14.1,MM,MM,-2.8,MM
2022,1,29,18,54,120,3.6,4.1,MM,MM,MM,MM,1029.4,13.2,14.3,MM,MM,MM,MM
2022,1,29,18,48,120,4.1,4.1,MM,MM,MM,MM,1029.5,13,14.1,MM,MM,MM,MM
2022,1,29,18,42,140,3.1,4.1,MM,MM,MM,MM,1029.7,13.4,14,MM,MM,MM,MM
2022,1,29,18,36,160,3.1,3.6,MM,MM,MM,MM,1029.9,13.3,14.1,MM,MM,MM,MM
2022,1,29,18,30,150,3.1,4.6,MM,MM,MM,MM,1030,13.2,14.3,MM,MM,MM,MM
2022,1,29,18,24,130,3.6,5.1,MM,MM,MM,MM,1030,13,14.3,MM,MM,MM,MM
2022,1,29,18,18,80,1,2.6,MM,MM,MM,MM,1030.2,12.9,14.2,MM,MM,MM,MM
2022,1,29,18,12,MM,0,2.1,MM,MM,MM,MM,1030.3,12.1,14,MM,MM,MM,MM
2022,1,29,18,6,30,1.5,2.1,MM,MM,MM,MM,1030.5,11.2,13.9,MM,MM,MM,MM
2022,1,29,18,0,40,1.5,2.1,MM,MM,MM,MM,1030.5,11.3,14,MM,MM,-1.4,MM
2022,1,29,17,54,50,2.1,2.1,MM,MM,MM,MM,1030.7,11.7,14,MM,MM,MM,MM
2022,1,29,17,48,30,1.5,2.1,MM,MM,MM,MM,1030.9,11,14,MM,MM,MM,MM
2022,1,29,17,42,20,1,1.5,MM,MM,MM,MM,1031,10.9,13.9,MM,MM,MM,MM
2022,1,29,17,36,30,1.5,1.5,MM,MM,MM,MM,1031.1,10.8,13.7,MM,MM,MM,MM
2022,1,29,17,30,10,1,1.5,MM,MM,MM,MM,1031.2,10.8,13.7,MM,MM,MM,MM
2022,1,29,17,24,20,1,1.5,MM,MM,MM,MM,1031.4,10.6,13.7,MM,MM,MM,MM
2022,1,29,17,18,10,1,1.5,MM,MM,MM,MM,1031.4,10.5,13.6,MM,MM,MM,MM
2022,1,29,17,12,350,1.5,2.1,MM,MM,MM,MM,1031.5,10.3,13.5,MM,MM,MM,MM
2022,1,29,17,6,350,1.5,2.1,MM,MM,MM,MM,1031.6,10.3,13.3,MM,MM,MM,MM
2022,1,29,17,0,350,1.5,2.1,MM,MM,MM,MM,1031.7,10.2,13.2,MM,MM,MM,MM
2022,1,29,16,54,350,1.5,2.1,MM,MM,MM,MM,1031.7,10.1,13,MM,MM,MM,MM
2022,1,29,16,48,330,2.1,2.1,MM,MM,MM,MM,1031.8,10.1,12.9,MM,MM,MM,MM
2022,1,29,16,42,320,1,2.1,MM,MM,MM,MM,1031.8,10.2,12.7,MM,MM,MM,MM
