YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
2022,1,29,20,18,130,5.7,7.2,MM,MM,MM,MM,1027.1,12.6,13.5,MM,MM,MM,MM
2022,1,29,20,12,130,6.2,6.7,MM,MM,MM,MM,1027.2,12.5,13.4,MM,MM,MM,MM
2022,1,29,20,6,130,6.2,6.7,MM,MM,MM,MM,1027.3,12.4,13.3,MM,MM,MM,MM
2022,1,29,20,0,120,5.7,6.2,MM,MM,MM,MM,1027.5,12.2,13.2,MM,MM,-4.1,MM
2022,1,29,19,54,130,5.1,6.2,MM,MM,MM,MM,1027.6,12.3,13.1,MM,MM,MM,MM
2022,1,29,19,48,130,5.7,6.2,MM,MM,MM,MM,1027.8,12.5,13.1,MM,MM,MM,MM
2022,1,29,19,42,120,4.6,5.1,MM,MM,MM,MM,1027.9,12.6,12.9,MM,MM,MM,MM
2022,1,29,19,36,120,4.1,4.6,MM,MM,MM,MM,1028,12.7,12.8,MM,MM,MM,MM
2022,1,29,19,30,120,4.1,4.1,MM,MM,MM,MM,1028.2,12.7,12.7,MM,MM,MM,MM
2022,1,29,19,24,120,4.1,5.1,MM,MM,MM,MM,1028.4,12.5,12.6,MM,MM,MM,MM
2022,1,29,19,18,140,3.6,4.1,MM,MM,MM,MM,1028.6,13.4,12.4,MM,MM,MM,MM
2022,1,29,19,12,150,3.1,4.1,MM,MM,MM,MM,1028.7,13.7,12.3,MM,MM,MM,MM
2022,1,29,19,6,140,3.1,3.6,MM,MM,MM,MM,1028.9,13.6,12.2,MM,MM,MM,MM
2022,1,29,19,0,160,3.1,4.1,MM,MM,MM,MM,1029.1,13.6,12.1,MM,MM,-3.1,MM
2022,1,29,18,54,150,3.1,4.1,MM,MM,MM,MM,1029.3,13.4,11.9,MM,MM,MM,MM
2022,1,29,18,48,150,3.6,4.1,MM,MM,MM,MM,1029.4,13.2,11.8,MM,MM,MM,MM
2022,1,29,18,42,150,3.6,3.6,MM,MM,MM,MM,1029.5,13.2,11.7,MM,MM,MM,MM
2022,1,29,18,36,150,3.1,3.6,MM,MM,MM,MM,1029.7,13,11.6,MM,MM,MM,MM
2022,1,29,18,30,140,3.6,3.6,MM,MM,MM,MM,1029.9,12.7,11.6,MM,MM,MM,MM
2022,1,29,18,24,130,3.1,4.1,MM,MM,MM,MM,1030,12.2,11.5,MM,MM,MM,MM
2022,1,29,18,18,150,3.6,3.6,MM,MM,MM,MM,1030.1,12.4,11.4,MM,MM,MM,MM
2022,1,29,18,12,140,3.1,3.6,MM,MM,MM,MM,1030.2,12.3,11.3,MM,MM,MM,MM
2022,1,29,18,6,140,3.1,3.6,MM,MM,MM,MM,1030.3,12.2,11.3,MM,MM,MM,MM
2022,1,29,18,0,140,3.1,3.6,MM,MM,MM,MM,1030.4,11.9,11.3,MM,MM,MM,MM
2022,1,29,17,54,140,3.1,3.6,MM,MM,MM,MM,1030.6,11.8,11.3,MM,MM,MM,MM
2022,1,29,17,48,140,3.1,3.6,MM,MM,MM,MM,1030.8,11.7,11.2,MM,MM,MM,MM
2022,1,29,17,42,140,3.1,3.6,MM,MM,MM,MM,1030.9,11.5,11.1,MM,MM,MM,MM
2022,1,29,17,36,120,2.1,2.6,MM,MM,MM,MM,1031.1,11.2,11.1,MM,MM,MM,MM
2022,1,29,17,30,100,2.6,2.6,MM,MM,MM,MM,1031.1,10.9,11.1,MM,MM,MM,MM
2022,1,29,17,24,110,2.6,2.6,MM,MM,MM,MM,1031.2,10.9,11,MM,MM,MM,MM
2022,1,29,17,18,110,2.6,2.6,MM,MM,MM,MM,1031.4,10.7,11,MM,MM,MM,MM
2022,1,29,17,12,130,2.6,2.6,MM,MM,MM,MM,1031.4,11.2,11,MM,MM,MM,MM
2022,1,29,17,6,130,2.1,2.6,MM,MM,MM,MM,1031.5,11.6,10.9,MM,MM,MM,MM
2022,1,29,17,0,90,2.1,2.6,MM,MM,MM,MM,1031.6,10.6,10.9,MM,MM,0,MM
2022,1,29,16,54,90,1,1.5,MM,MM,MM,MM,1031.7,11.5,10.9,MM,MM,MM,MM
2022,1,29,16,48,70,1,2.1,MM,MM,MM,MM,1031.7,11.3,10.9,MM,MM,MM,MM
2022,1,29,16,42,90,1.5,2.1,MM,MM,MM,MM,1031.9,11.2,10.9,MM,MM,MM,MM
2022,1,29,16,36,240,1,2.6,MM,MM,MM,MM,1032,12.5,10.8,MM,MM,MM,MM
2022,1,29,16,30,180,1,3.1,MM,MM,MM,MM,1032,12.3,10.8,MM,MM,MM,MM
2022,1,29,16,24,240,2.6,3.6,MM,MM,MM,MM,1032,11.9,10.8,MM,MM,MM,MM
2022,1,29,16,18,MM,0,1,MM,MM,MM,MM,1032.1,12.3,10.8,MM,MM,MM,MM
2022,1,29,16,12,MM,0,1.5,MM,MM,MM,MM,1032.1,11.7,10.8,MM,MM,MM,MM
2022,1,29,16,6,270,1,2.1,MM,MM,MM,MM,1032.2,11.2,10.7,MM,MM,MM,MM
2022,1,29,16,0,290,1.5,2.6,MM,MM,MM,MM,1032.2,10.8,10.7,MM,MM,1.1,MM
2022,1,29,15,54,270,2.6,3.6,MM,MM,MM,MM,1032.2,10.4,10.7,MM,MM,MM,MM
2022,1,29,15,48,260,2.6,3.1,MM,MM,MM,MM,1032.2,10.3,10.7,MM,MM,MM,MM
2022,1,29,14,6,320,1.5,2.1,MM,MM,MM,MM,1031.8,4.3,10.9,MM,MM,MM,MM
2022,1,29,14,0,300,1.5,2.6,MM,MM,MM,MM,1031.8,3.4,10.9,MM,MM,1.2,MM
2022,1,29,13,54,300,1.5,2.6,MM,MM,MM,MM,1031.8,3.3,10.9,MM,MM,MM,MM
2022,1,29,13,48,290,2.6,3.1,MM,MM,MM,MM,1031.6,3.1,10.9,MM,MM,MM,MM
